Product,MAE,RMSE,MAPE,Train_Size,Test_Size,Total_Records
CHILLI_OIL_base,128.620090229931,169.43722845688825,39.654755314779926,354,89,443
FISH_SAUCE,4.713296391176885,5.3829576503335685,50.537036572836,353,89,442
SAWI_DAGING,173.39233338833142,313.9060445371796,23.905256123792746,354,89,443
Jahe,5.109467690756839,7.8483640027014285,75.89872216888936,354,89,443
Noodle_1,16.792813690049826,20.08739337477326,47.117169558108216,353,89,442
MINYAK_GORENG,1033.9988247698361,2913.682852124697,650.1069539659077,358,90,448
Lumpia_Kulit_Tahu,940.1557754247638,1311.9123750957608,12311.090004472488,82,21,103
Jamur_Kuping,297.0702475447013,576.8272105625359,34.24250174219347,356,89,445
DAUN_BAWANG_MERAH,99.52878439838207,210.14423535240815,30.658791024118255,356,89,445
Keju,1320.45254689283,1855.9359530350916,4514.41126438744,84,21,105
peanut_crumb,52.74131373246334,59.77918031566991,1162.4870570931869,179,45,224
Noodle_2,18.559036370677905,25.198111074668297,19.2624860269416,356,89,445
boneka_momo,3.197609962260968,3.5955194469489378,233.00896451744143,114,29,143
JAGUNG,303.43658342957997,549.3355779400644,23.905256123792743,354,89,443
Jerigen_Besar,248.49220091119162,250.36425941864363,7172.234935582145,11,3,14
NORI_MAMASUKA,28.226684410575995,56.03608376509756,17.334094919713642,354,89,443
Siomay,858.6882551830244,1200.5959384294665,13354.465974531115,80,20,100
